z_um,width_um
4.957432977568984600e-01,4.163387467324491768e-03
4.995506730625492997e-01,3.807375305650828861e-03
5.033967107836138100e-01,3.846037721064502445e-03
5.076311131819774003e-01,4.234402398363557377e-03
5.115228256364405812e-01,3.891712454463125415e-03
5.153164105972835030e-01,3.793584960842947326e-03
5.193891320948719192e-01,4.072721497588363375e-03
5.234810766422957062e-01,4.091944547423769646e-03
5.272769672883724779e-01,3.795890646076814558e-03
5.311577632580228858e-01,3.880795969650462172e-03
5.353954770149594866e-01,4.237713756936626816e-03
5.392494110598773371e-01,3.853934044917845317e-03
5.430530474478287850e-01,3.803636387951451776e-03
5.472004897545784674e-01,4.147442306749649435e-03
5.512144956472515567e-01,4.014005892673079730e-03
5.550044295534800609e-01,3.789933906228515944e-03
5.589330161388011975e-01,3.928586585321175613e-03
5.631481975561493103e-01,4.215181417348137956e-03
5.669750228238615852e-01,3.826825267712287079e-03
5.707951979359873196e-01,3.820175112125784225e-03
5.749982634017596350e-01,4.203065465772305026e-03
5.789445797427388296e-01,3.946316340979192858e-03
5.827335657443611927e-01,3.788986001622376976e-03
5.867255514710194575e-01,3.991985726658299483e-03
5.908921340473357597e-01,4.166582576316250203e-03
5.947002214308514390e-01,3.808087383515654060e-03
5.985446524104363064e-01,3.844430979584909959e-03
6.027781043920569237e-01,4.233451981620658944e-03
6.066721191238110267e-01,3.894014731754066958e-03
6.104653296054044498e-01,3.793210481593456505e-03
6.145338769463836170e-01,4.068547340979181137e-03
6.186299156973206204e-01,4.096038750937047550e-03
6.224262748328268646e-01,3.796359135506285464e-03
6.263049841141551388e-01,3.878709281328316695e-03
6.305432089913785010e-01,4.238224877223345684e-03
6.343988787656575923e-01,3.855669774279036656e-03
6.382018694793948344e-01,3.802990713737190460e-03
6.423457690455619540e-01,4.143899566167109222e-03
6.463637300001757735e-01,4.017960954613796105e-03
6.501538320447161068e-01,3.790102044540327210e-03
6.540794967486212030e-01,3.925664703905065028e-03
6.582964705664370308e-01,4.216973817815862502e-03
6.621244479680620243e-01,3.827977401624990846e-03
6.659435202988402969e-01,3.819072330778267802e-03
6.701442328042954699e-01,4.200712505455127949e-03
6.740937131726337794e-01,3.949480368338319919e-03
6.778826744008081828e-01,3.788961228174414671e-03
6.818710102022881303e-01,3.988335801479960495e-03
6.860408430461613083e-01,4.169832843873171047e-03
6.898497794930549265e-01,3.808936446893632088e-03
6.936927725138674061e-01,3.842993020812425411e-03
6.979253358341416247e-01,4.232563320274206412e-03
7.018217647103889290e-01,3.896428876247275651e-03
7.056145857635369723e-01,3.792821053148004700e-03
7.096788759448549033e-01,4.064290181317886837e-03
7.137788894098169301e-01,4.100013464962046737e-03
7.175756068758841755e-01,3.796717466067258372e-03
7.214521134668006042e-01,3.876506590916428251e-03
7.256906231780647643e-01,4.238509711264133208e-03
7.295479170132288527e-01,3.857293835164127011e-03
7.333501270492606139e-01,3.802210036031810660e-03
7.374903415704279208e-01,4.140214521167298253e-03
7.415122872182942082e-01,4.021945647866326419e-03
7.453027346194149860e-01,3.790447401120795607e-03
7.492256786360295129e-01,3.922944016614473076e-03
7.534445228950532591e-01,4.218844259023731523e-03
7.572738521567080605e-01,3.829329261654776211e-03
7.610920359427300053e-01,3.818183786021955590e-03
7.652904295368994081e-01,4.198393594169377678e-03
7.692431442188450985e-01,3.952714681945658330e-03
7.730319932310252273e-01,3.788849012180137057e-03
7.770166962051791026e-01,3.984702974153898729e-03
7.811895675864987121e-01,4.172871381319580818e-03
7.849992598594451865e-01,3.809692272946429287e-03
7.888405639672743108e-01,3.841304107829140828e-03
7.931265420711653968e-01,4.285978103891048725e-03
7.969956902797015186e-01,3.869148208536170742e-03
8.007104577697934378e-01,3.714767490091904455e-03
8.047934695838955266e-01,4.083011814102133902e-03
8.089870894595632134e-01,4.193619875667633015e-03
8.127069437563351206e-01,3.719854296771946730e-03
8.164950472181440322e-01,3.788103461808857344e-03
8.209382029032858963e-01,4.443155685141825934e-03
8.247112687750165483e-01,3.773065871730642458e-03
8.284358515615389829e-01,3.724582786522416793e-03
8.327034167962608091e-01,4.267565234721775076e-03
8.367107033536843597e-01,4.007286557423592188e-03
8.404224231274869394e-01,3.711719773802548555e-03
8.442592462087618044e-01,3.836823081274856693e-03
