z_um,width_um
5.272811887264243769e-01,3.964520215988158805e-03
5.312457089424125201e-01,3.964520215988158805e-03
5.352102291584006633e-01,3.964520215988158805e-03
5.391747493743888064e-01,3.964520215988158805e-03
5.431392695903769496e-01,3.964520215988158805e-03
5.471037898063650928e-01,3.964520215988158805e-03
5.510683100223532360e-01,3.964520215988158805e-03
5.550328302383413792e-01,3.964520215988158805e-03
5.589973504543295224e-01,3.964520215988158805e-03
5.629618706703176656e-01,3.964520215988158805e-03
5.669263908863058088e-01,3.964520215988158805e-03
5.708909111022939520e-01,3.964520215988158805e-03
5.748554313182820952e-01,3.964520215988158805e-03
5.788199515342702384e-01,3.964520215988158805e-03
5.827844717502583816e-01,3.964520215988158805e-03
5.867489919662465248e-01,3.964520215988158805e-03
5.907135121822346679e-01,3.964520215988158805e-03
5.946780323982228111e-01,3.964520215988158805e-03
5.986425526142109543e-01,3.964520215988158805e-03
6.026070728301990975e-01,3.964520215988158805e-03
6.065715930461872407e-01,3.964520215988158805e-03
6.105361132621753839e-01,3.964520215988158805e-03
6.145006334781635271e-01,3.964520215988158805e-03
6.184651536941516703e-01,3.964520215988158805e-03
6.224296739101398135e-01,3.964520215988158805e-03
6.263941941261279567e-01,3.964520215988158805e-03
6.303587143421160999e-01,3.964520215988158805e-03
6.343232345581042431e-01,3.964520215988158805e-03
6.382877547740923863e-01,3.964520215988158805e-03
6.422522749900805294e-01,3.964520215988158805e-03
6.462167952060686726e-01,3.964520215988158805e-03
6.501813154220568158e-01,3.964520215988158805e-03
6.541458356380449590e-01,3.964520215988158805e-03
6.581103558540331022e-01,3.964520215988158805e-03
6.620748760700212454e-01,3.964520215988158805e-03
6.660393962860093886e-01,3.964520215988158805e-03
6.700039165019975318e-01,3.964520215988158805e-03
6.739684367179856750e-01,3.964520215988158805e-03
6.779329569339738182e-01,3.964520215988158805e-03
6.818974771499619614e-01,3.964520215988158805e-03
6.858619973659501046e-01,3.964520215988158805e-03
6.898265175819382478e-01,3.964520215988158805e-03
6.937910377979263910e-01,3.964520215988158805e-03
6.977555580139145341e-01,3.964520215988158805e-03
7.017200782299026773e-01,3.964520215988158805e-03
7.056845984458908205e-01,3.964520215988158805e-03
7.096491186618789637e-01,3.964520215988158805e-03
7.136136388778671069e-01,3.964520215988158805e-03
7.175781590938552501e-01,3.964520215988158805e-03
7.215426793098433933e-01,3.964520215988158805e-03
7.255071995258315365e-01,3.964520215988158805e-03
7.294717197418196797e-01,3.964520215988158805e-03
7.334362399578078229e-01,3.964520215988158805e-03
7.374007601737959661e-01,3.964520215988158805e-03
7.413652803897841093e-01,3.964520215988158805e-03
7.453298006057722525e-01,3.964520215988158805e-03
7.492943208217603956e-01,3.964520215988158805e-03
7.532588410377485388e-01,3.964520215988158805e-03
7.572233612537366820e-01,3.964520215988158805e-03
7.611878814697248252e-01,3.964520215988158805e-03
7.651524016857129684e-01,3.964520215988158805e-03
7.691169219017011116e-01,3.964520215988158805e-03
7.730814421176892548e-01,3.964520215988158805e-03
7.770459623336773980e-01,3.964520215988158805e-03
7.810104825496655412e-01,3.964520215988158805e-03
7.849750027656536844e-01,3.964520215988158805e-03
7.889395229816418276e-01,3.964520215988158805e-03
7.929040431976299708e-01,3.964520215988158805e-03
7.968685634136181140e-01,3.964520215988158805e-03
8.008330836296062571e-01,3.964520215988158805e-03
8.047976038455944003e-01,3.964520215988158805e-03
8.087621240615825435e-01,3.964520215988158805e-03
8.127266442775706867e-01,3.964520215988158805e-03
8.166911644935588299e-01,3.964520215988158805e-03
8.206556847095469731e-01,3.964520215988158805e-03
8.246202049255351163e-01,3.964520215988158805e-03
8.285847251415232595e-01,3.964520215988158805e-03
8.325492453575114027e-01,3.964520215988158805e-03
8.365137655734995459e-01,3.964520215988158805e-03
8.404782857894876891e-01,3.964520215988158805e-03
8.444428060054758323e-01,3.964520215988158805e-03
8.484073262214639755e-01,3.964520215988158805e-03
8.523718464374521186e-01,3.964520215988158805e-03
8.563363666534402618e-01,3.964520215988158805e-03
8.603008868694284050e-01,3.964520215988158805e-03
8.642654070854165482e-01,3.964520215988158805e-03
8.682299273014046914e-01,3.964520215988158805e-03
8.721944475173928346e-01,3.964520215988158805e-03
8.761589677333809778e-01,3.964520215988158805e-03
8.801234879493691210e-01,3.964520215988158805e-03
8.840880081653572642e-01,3.964520215988158805e-03
