z_um,fw_amp,sh_amp,th_amp
3.092325768470763903e-01,3.161946164929215097e+00,4.578700753520924954e-02,5.526114559954896978e-06
3.131970970630645890e-01,3.161937499529263729e+00,4.638155925606918251e-02,5.633521764644590488e-06
3.171616172790527322e-01,3.161928722358090749e+00,4.697610770273297209e-02,5.671656776819173356e-06
3.211261374950408753e-01,3.161919833417196291e+00,4.757065282635584286e-02,5.725267885353739936e-06
3.250906577110290741e-01,3.161910832708124008e+00,4.816519458118883462e-02,5.840292741079898545e-06
3.290551779270172172e-01,3.161901720232531243e+00,4.875973293395562819e-02,5.908030348922858902e-06
3.330196981430053604e-01,3.161892495992023822e+00,4.935426784184254734e-02,5.938790313658603388e-06
3.369842183589935036e-01,3.161883159988165382e+00,4.994879925449318553e-02,6.035997756369707234e-06
3.409487385749817023e-01,3.161873712222647459e+00,5.054332713498795038e-02,6.135738445654736126e-06
3.449132587909698455e-01,3.161864152697185570e+00,5.113785144701018387e-02,6.167863039057220597e-06
3.488777790069579887e-01,3.161854481413404638e+00,5.173237214049755672e-02,6.232250430999118133e-06
3.528422992229461874e-01,3.161844698373000639e+00,5.232688917188903222e-02,6.347666481084067254e-06
3.568068194389343306e-01,3.161834803577777464e+00,5.292140250801289497e-02,6.404444968467921014e-06
3.607713396549224738e-01,3.161824797029458622e+00,5.351591210383102593e-02,6.440424696966512030e-06
3.647358598709106170e-01,3.161814678729750305e+00,5.411041791004957829e-02,6.545893384846643325e-06
3.687003800868988157e-01,3.161804448680499480e+00,5.470491989144236206e-02,6.636129574966370363e-06
3.726649003028869589e-01,3.161794106883546895e+00,5.529941800977353911e-02,6.664862802925765380e-06
3.766294205188751021e-01,3.161783653340644484e+00,5.589391221429734075e-02,6.740519989494593201e-06
3.805939407348633008e-01,3.161773088053646763e+00,5.648840246374366159e-02,6.853450450925501385e-06
3.845584609508514440e-01,3.161762411024494845e+00,5.708288872445941436e-02,6.900252304245049614e-06
3.885229811668395872e-01,3.161751622255031702e+00,5.767737094938338305e-02,6.943835227833999125e-06
3.924875013828277859e-01,3.161740721747110516e+00,5.827184909076752600e-02,7.055331338715409100e-06
3.964520215988159291e-01,3.161729709502732799e+00,5.886632311462965117e-02,7.134847871192436966e-06
4.004165418148040723e-01,3.161718585523859648e+00,5.946079298056500956e-02,7.163040043072634300e-06
4.043810620307922155e-01,3.161707349812374002e+00,6.005525863772438744e-02,7.249709208973051720e-06
4.083455822467804142e-01,3.161696002370289360e+00,6.064972004708011483e-02,7.357442635630676837e-06
4.123101024627685574e-01,3.161684543199681841e+00,6.124417717394431415e-02,7.395910643422004050e-06
4.162746226787567005e-01,3.161672972302511209e+00,6.183862996956845937e-02,7.448975173289953567e-06
4.202391428947448992e-01,3.161661289680785636e+00,6.243307838813182131e-02,7.563868432944040623e-06
4.242036631107330424e-01,3.161649495336655846e+00,6.302752239636462417e-02,7.632153611530937963e-06
4.281681833267211856e-01,3.161637589272198845e+00,6.362196195158796586e-02,7.662696450364320688e-06
4.321327035427093288e-01,3.161625571489435682e+00,6.421639700343648172e-02,7.759386896996373846e-06
4.360972237586975275e-01,3.161613441990541062e+00,6.481082751492826810e-02,7.859554673397855083e-06
4.400617439746856707e-01,3.161601200777717224e+00,6.540525344985638478e-02,7.891885700798665666e-06
4.440262641906738139e-01,3.161588847853044282e+00,6.599967475823340091e-02,7.955678590212632759e-06
4.479907844066620126e-01,3.161576383218690278e+00,6.659409139641993269e-02,8.071116952258540906e-06
4.519553046226501558e-01,3.161563806876948046e+00,6.718850333128047192e-02,8.128397581541398453e-06
4.559198248386382990e-01,3.161551118830012275e+00,6.778291051790809318e-02,8.164030685305235442e-06
4.598843450546264422e-01,3.161538319080045234e+00,6.837731290697704467e-02,8.269086369725487268e-06
4.638488652706146409e-01,3.161525407629381501e+00,6.897171046321937116e-02,8.359817681244383474e-06
4.678133854866027841e-01,3.161512384480344995e+00,6.956610314852623711e-02,8.388618908639048255e-06
4.717779057025909273e-01,3.161499249635141506e+00,7.016049091220233347e-02,8.463671565581943018e-06
4.757424259185791260e-01,3.161486003096099839e+00,7.075487371289952698e-02,8.576769588667206151e-06
4.797069461345672692e-01,3.161472644865653603e+00,7.134925151703032375e-02,8.623997855499811576e-06
4.836714663505554124e-01,3.161459174946108508e+00,7.194362427765407797e-02,8.667124746526254979e-06
4.876359865665435556e-01,3.161445593339777371e+00,7.253799194697210795e-02,8.778335905289018227e-06
4.916005067825317543e-01,3.161431900049152421e+00,7.313235449098562380e-02,8.858380347271661821e-06
4.955650269985198975e-01,3.161418095076672596e+00,7.372671186942776622e-02,8.886497242794427450e-06
4.995295472145080407e-01,3.161404178424673805e+00,7.432106403147392681e-02,8.972590575187833453e-06
5.034940674304961838e-01,3.161390150095649609e+00,7.491541093802589479e-02,9.080619215212565318e-06
5.074585876464843270e-01,3.161376010092165956e+00,7.550975255448835743e-02,9.119411878475052057e-06
5.114231078624725813e-01,3.161361758416642243e+00,7.610408883221705945e-02,9.171938352181618697e-06
5.153876280784607244e-01,3.161347395071548938e+00,7.669841972532696894e-02,9.286689343938321444e-06
5.193521482944488676e-01,3.161332920059529705e+00,7.729274520056020337e-02,9.355499315556613083e-06
5.233166685104370108e-01,3.161318333383134949e+00,7.788706521537956673e-02,9.385826703640667745e-06
5.272811887264251540e-01,3.161303635044839133e+00,7.848137971941901436e-02,9.482006633825719737e-06
5.312457089424132972e-01,3.161288825047299689e+00,7.907568867564022941e-02,9.582572244472648684e-06
5.352102291584014404e-01,3.161273903393206464e+00,7.966999204795194300e-02,9.615105689350272108e-06
5.391747493743896946e-01,3.161258870085095651e+00,8.026428978644976897e-02,9.678311646050333499e-06
5.431392695903778378e-01,3.161243725125602921e+00,8.085858184742299171e-02,9.793754904808422686e-06
5.471037898063659810e-01,3.161228468517515822e+00,8.145286819777787513e-02,9.851522385786982364e-06
5.510683100223541242e-01,3.161213100263493114e+00,8.204714879274574435e-02,9.886811317288193022e-06
5.550328302383422674e-01,3.161197620366155370e+00,8.264142358297710267e-02,9.991453569493517387e-06
5.589973504543304106e-01,3.161182028828324331e+00,8.323569253316796812e-02,1.008265469389669355e-05
5.629618706703185538e-01,3.161166325652805753e+00,8.382995560534269031e-02,1.011152237010407168e-05
5.669263908863068080e-01,3.161150510842259731e+00,8.442421274886474647e-02,1.018597594818180034e-05
5.708909111022949512e-01,3.161134584399487135e+00,8.501846392231456051e-02,1.029922042045337816e-05
5.748554313182830944e-01,3.161118546327414069e+00,8.561270909217570668e-02,1.034686553688198440e-05
5.788199515342712376e-01,3.161102396628808098e+00,8.620694821163585320e-02,1.038953911965668806e-05
5.827844717502593808e-01,3.161086135306443001e+00,8.680118123285332499e-02,1.050045853505771653e-05
5.867489919662475240e-01,3.161069762363299951e+00,8.739540812181832707e-02,1.058101051258526421e-05
5.907135121822356671e-01,3.161053277802295725e+00,8.798962883840841243e-02,1.060905190163355407e-05
5.946780323982239214e-01,3.161036681626219202e+00,8.858384333183190462e-02,1.069457172074823584e-05
5.986425526142120646e-01,3.161019973838041786e+00,8.917805156292636648e-02,1.080287341601187589e-05
6.026070728302002077e-01,3.161003154440818363e+00,8.977225349719464287e-02,1.084198522653348263e-05
6.065715930461883509e-01,3.160986223437427522e+00,9.036644908610461102e-02,1.089397607092873015e-05
6.105361132621764941e-01,3.160969180830802472e+00,9.096063828371453441e-02,1.100857277513199141e-05
6.145006334781646373e-01,3.160952026624077593e+00,9.155482105678369731e-02,1.107789219761108326e-05
6.184651536941527805e-01,3.160934760820278022e+00,9.214899736292359034e-02,1.110800453486798931e-05
6.224296739101410347e-01,3.160917383422329419e+00,9.274316715177555182e-02,1.120367245206312471e-05
6.263941941261291779e-01,3.160899894433372381e+00,9.333733038625108280e-02,1.130461476886280252e-05
6.303587143421173211e-01,3.160882293856583480e+00,9.393148703038030345e-02,1.133734777994007492e-05
