wavelength_um,target_amp,holographic_amp,periodic_amp,phase_rad
1.063160160160160128e+00,3.655025642595885688e-05,1.377163698494009907e-04,1.300196907988091302e-02,-3.071899438813670447e+00
1.063162162162162083e+00,3.395321412065012998e-05,1.383702755680163952e-04,1.294842283207197145e-02,-3.112115330496617815e+00
1.063164164164164038e+00,3.128550344328872180e-05,1.387139450851658322e-04,1.289043941733889614e-02,-3.152518666487623022e+00
1.063166166166166215e+00,2.855495605404398157e-05,1.387457390341796518e-04,1.282801562828791986e-02,-3.193048151393078626e+00
1.063168168168168171e+00,2.576958725609031074e-05,1.384649207287010531e-04,1.276114956939157150e-02,-3.233643773893763562e+00
1.063170170170170126e+00,2.293757260171867232e-05,1.378716542691852656e-04,1.268984066293808548e-02,-3.274245752328816206e+00
1.063172172172172081e+00,2.006722407824540260e-05,1.369670045373024101e-04,1.261408965487530696e-02,-3.314793476457966293e+00
1.063174174174174036e+00,1.716696584737887319e-05,1.357529391209837209e-04,1.253389862009290576e-02,-3.355224407387322305e+00
1.063176176176176213e+00,1.424530968731930166e-05,1.342323323818894255e-04,1.244927096751763211e-02,-3.395472893598233455e+00
1.063178178178178168e+00,1.131083013553724582e-05,1.324089720820122260e-04,1.236021144444816866e-02,-3.435468856834072326e+00
1.063180180180180123e+00,8.372139501096808131e-06,1.302875692724429952e-04,1.226672614138426230e-02,-3.475136290827264052e+00
1.063182182182182078e+00,5.437862656196205140e-06,1.278737724037640232e-04,1.216882249469464390e-02,-3.514391505599198329e+00
1.063184184184184033e+00,2.516611957285549880e-06,1.251741871841123175e-04,1.206650929280263761e-02,-3.553141028253753220e+00
1.063186186186186211e+00,3.830380155471127353e-07,1.221964039147839780e-04,1.195979667618140251e-02,-3.591279051898634389e+00
1.063188188188188166e+00,3.252575467236799118e-06,1.189490352414864486e-04,1.184869614221659151e-02,-3.628684281535891287e+00
1.063190190190190121e+00,6.083576252745344433e-06,1.154417678978256027e-04,1.173322054769524066e-02,-3.665215983746885176e+00
1.063192192192192076e+00,8.867728507075274118e-06,1.116854335841576713e-04,1.161338411040024540e-02,-3.700708975561417535e+00
1.063194194194194031e+00,1.159685699209363667e-05,1.076921062665953750e-04,1.148920241054557714e-02,-3.734967192724479190e+00
1.063196196196196208e+00,1.426294697911905949e-05,1.034752361142323270e-04,1.136069239291347469e-02,-3.767755342267683272e+00
1.063198198198198163e+00,1.685816773138969419e-05,9.904983465021885978e-05,1.122787236794778321e-02,-3.798787954886208684e+00
1.063200200200200118e+00,1.937489542770389224e-05,9.443273226123524277e-05,1.109076201158865418e-02,-3.827714881373726286e+00
1.063202202202202074e+00,2.180573552516721985e-05,8.964293910552280408e-05,1.094938236569370331e-02,-3.854101896324086507e+00
1.063204204204204251e+00,2.414354441340059006e-05,8.470215537350719490e-05,1.080375583917696225e-02,-3.877404545456235141e+00
1.063206206206206206e+00,2.638145038688444468e-05,7.963549959898184644e-05,1.065390620636274405e-02,-3.896932664160235760e+00
1.063208208208208161e+00,2.851287383874200125e-05,7.447255898563418940e-05,1.049985860671104505e-02,-3.911802115198197871e+00
1.063210210210210116e+00,3.053154659117720263e-05,6.924891883291905026e-05,1.034163954323772706e-02,-3.920869404543825265e+00
1.063212212212212071e+00,3.243153033611886009e-05,6.400840680752919239e-05,1.017927688071963190e-02,-3.922644540271033708e+00
1.063214214214214248e+00,3.420723414678090936e-05,5.880639601962518655e-05,1.001279984472911409e-02,-3.915179606972008397e+00
1.063216216216216203e+00,3.585343093355080344e-05,5.371463193384973196e-05,9.842239018535606232e-03,-3.895939838234135699e+00
1.063218218218218158e+00,3.736527293981944649e-05,4.882809450411068738e-05,9.667626340176586897e-03,-3.861692047024416485e+00
1.063220220220220114e+00,3.873830606050009855e-05,4.427407676420177612e-05,9.488995100869103069e-03,-3.808515969533715406e+00
1.063222222222222069e+00,3.996848307321977303e-05,4.022215537474191040e-05,9.306379939415493352e-03,-3.732190633872613184e+00
1.063224224224224246e+00,4.105217570809361591e-05,3.688952992013877437e-05,9.119816839882314077e-03,-3.629412020659924298e+00
1.063226226226226201e+00,4.198618544158506900e-05,3.452851041340233157e-05,8.929343127189015572e-03,-3.500262820232923122e+00
1.063228228228228156e+00,4.276775314963633104e-05,3.337839363572113032e-05,8.734997461847367195e-03,-3.351268058840287445e+00
1.063230230230230111e+00,4.339456743204694509e-05,3.358336377458686961e-05,8.536819835653654959e-03,-3.196097742219781601e+00
1.063232232232232288e+00,4.386477165964155242e-05,3.512606876291895179e-05,8.334851566428410144e-03,-3.051081907990829123e+00
