domain_index,structure_z_um,structure_width_um
199,7.078626848750420322e+03,9.911266940282985161e+00
200,7.088538115690703307e+03,1.585802710445386765e+01
201,7.104396142795157175e+03,1.982253388056960830e+00
202,7.106378396183214136e+03,3.964506776113012165e+00
203,7.110342902959327148e+03,9.911266940282985161e+00
204,7.120254169899610133e+03,1.585802710445386765e+01
205,7.136112197004064001e+03,1.982253388056960830e+00
206,7.138094450392120962e+03,3.964506776113012165e+00
207,7.142058957168233974e+03,1.982253388056960830e+00
208,7.144041210556290935e+03,1.585802710445386765e+01
209,7.159899237660744802e+03,1.982253388056960830e+00
210,7.161881491048801763e+03,3.964506776113012165e+00
211,7.165845997824914775e+03,9.911266940282985161e+00
212,7.175757264765197760e+03,1.585802710445386765e+01
213,7.191615291869651628e+03,1.982253388056960830e+00
214,7.193597545257708589e+03,3.964506776113012165e+00
215,7.197562052033821601e+03,1.982253388056960830e+00
216,7.199544305421878562e+03,1.585802710445386765e+01
217,7.215402332526332430e+03,1.982253388056960830e+00
218,7.217384585914389390e+03,3.964506776113012165e+00
219,7.221349092690502403e+03,9.911266940282985161e+00
220,7.231260359630785388e+03,1.585802710445386765e+01
221,7.247118386735239255e+03,1.982253388056960830e+00
222,7.249100640123296216e+03,3.964506776113012165e+00
223,7.253065146899409228e+03,1.982253388056960830e+00
224,7.255047400287466189e+03,1.585802710445386765e+01
225,7.270905427391920057e+03,1.982253388056960830e+00
226,7.272887680779977018e+03,3.964506776113012165e+00
227,7.276852187556090030e+03,9.911266940282985161e+00
228,7.286763454496373015e+03,7.929013552226933825e+00
229,7.294692468048599949e+03,1.982253388056960830e+00
230,7.296674721436656910e+03,3.964506776113012165e+00
231,7.300639228212769922e+03,9.911266940282985161e+00
232,7.310550495153052907e+03,7.929013552226933825e+00
233,7.318479508705279841e+03,1.982253388056960830e+00
234,7.320461762093336802e+03,3.964506776113012165e+00
235,7.324426268869449814e+03,9.911266940282985161e+00
236,7.334337535809732799e+03,1.585802710445386765e+01
237,7.350195562914186667e+03,1.982253388056960830e+00
238,7.352177816302243627e+03,3.964506776113012165e+00
239,7.356142323078356640e+03,1.982253388056960830e+00
240,7.358124576466413600e+03,1.585802710445386765e+01
241,7.373982603570867468e+03,1.982253388056960830e+00
242,7.375964856958924429e+03,3.964506776113012165e+00
243,7.379929363735037441e+03,1.982253388056960830e+00
244,7.381911617123094402e+03,1.585802710445386765e+01
245,7.397769644227548270e+03,1.982253388056960830e+00
246,7.399751897615605230e+03,3.964506776113012165e+00
247,7.403716404391718243e+03,9.911266940282985161e+00
248,7.413627671332001228e+03,7.929013552226933825e+00
249,7.421556684884228162e+03,1.982253388056960830e+00
250,7.423538938272285122e+03,3.964506776113012165e+00
251,7.427503445048398135e+03,9.911266940282985161e+00
252,7.437414711988681120e+03,7.929013552226933825e+00
253,7.445343725540908054e+03,1.982253388056960830e+00
254,7.447325978928965014e+03,3.964506776113012165e+00
255,7.451290485705078027e+03,9.911266940282985161e+00
256,7.461201752645361012e+03,7.929013552226933825e+00
257,7.469130766197587945e+03,1.982253388056960830e+00
258,7.471113019585644906e+03,3.964506776113012165e+00
259,7.475077526361757918e+03,9.911266940282985161e+00
260,7.484988793302040904e+03,7.929013552226933825e+00
261,7.492917806854267837e+03,1.982253388056960830e+00
262,7.494900060242324798e+03,3.964506776113012165e+00
263,7.498864567018437810e+03,9.911266940282985161e+00
264,7.508775833958720796e+03,7.929013552226933825e+00
265,7.516704847510947729e+03,1.982253388056960830e+00
266,7.518687100899004690e+03,3.964506776113012165e+00
267,7.522651607675117702e+03,9.911266940282985161e+00
268,7.532562874615400688e+03,7.929013552226933825e+00
269,7.540491888167627621e+03,1.982253388056960830e+00
270,7.542474141555684582e+03,3.964506776113012165e+00
271,7.546438648331797594e+03,9.911266940282985161e+00
272,7.556349915272080580e+03,7.929013552226933825e+00
273,7.564278928824307513e+03,1.982253388056960830e+00
274,7.566261182212364474e+03,3.964506776113012165e+00
275,7.570225688988477486e+03,9.911266940282985161e+00
276,7.580136955928760472e+03,7.929013552226933825e+00
277,7.588065969480987405e+03,1.982253388056960830e+00
278,7.590048222869044366e+03,3.964506776113012165e+00
279,7.594012729645157378e+03,1.982253388056960830e+00
280,7.595994983033214339e+03,1.585802710445386765e+01
281,7.611853010137668207e+03,1.982253388056960830e+00
282,7.613835263525725168e+03,3.964506776113012165e+00
283,7.617799770301838180e+03,1.982253388056960830e+00
284,7.619782023689895141e+03,1.585802710445386765e+01
285,7.635640050794349008e+03,1.982253388056960830e+00
286,7.637622304182405969e+03,3.964506776113012165e+00
287,7.641586810958518981e+03,1.982253388056960830e+00
288,7.643569064346575942e+03,7.929013552226933825e+00
289,7.651498077898802876e+03,1.982253388056960830e+00
290,7.653480331286859837e+03,3.964506776113012165e+00
291,7.657444838062972849e+03,9.911266940282985161e+00
292,7.667356105003255834e+03,7.929013552226933825e+00
293,7.675285118555482768e+03,1.982253388056960830e+00
294,7.677267371943539729e+03,3.964506776113012165e+00
295,7.681231878719652741e+03,1.982253388056960830e+00
296,7.683214132107709702e+03,1.585802710445386765e+01
297,7.699072159212163569e+03,1.982253388056960830e+00
298,7.701054412600220530e+03,3.964506776113012165e+00
299,7.705018919376333542e+03,1.982253388056960830e+00
300,7.707001172764390503e+03,7.929013552226933825e+00
301,7.714930186316617437e+03,1.982253388056960830e+00
302,7.716912439704674398e+03,3.964506776113012165e+00
303,7.720876946480787410e+03,9.911266940282985161e+00
304,7.730788213421070395e+03,7.929013552226933825e+00
305,7.738717226973297329e+03,1.982253388056960830e+00
306,7.740699480361354290e+03,3.964506776113012165e+00
307,7.744663987137467302e+03,1.982253388056960830e+00
308,7.746646240525524263e+03,1.585802710445386765e+01
309,7.762504267629978131e+03,1.982253388056960830e+00
310,7.764486521018035091e+03,3.964506776113012165e+00
311,7.768451027794148104e+03,1.982253388056960830e+00
312,7.770433281182205064e+03,7.929013552226933825e+00
313,7.778362294734431998e+03,1.982253388056960830e+00
314,7.780344548122488959e+03,3.964506776113012165e+00
315,7.784309054898601971e+03,9.911266940282985161e+00
316,7.794220321838884956e+03,7.929013552226933825e+00
317,7.802149335391111890e+03,1.982253388056960830e+00
318,7.804131588779168851e+03,3.964506776113012165e+00
319,7.808096095555281863e+03,1.982253388056960830e+00
320,7.810078348943338824e+03,1.585802710445386765e+01
321,7.825936376047792692e+03,1.982253388056960830e+00
322,7.827918629435849653e+03,3.964506776113012165e+00
323,7.831883136211962665e+03,1.982253388056960830e+00
324,7.833865389600019626e+03,7.929013552226933825e+00
325,7.841794403152246559e+03,1.982253388056960830e+00
326,7.843776656540303520e+03,3.964506776113012165e+00
327,7.847741163316416532e+03,1.982253388056960830e+00
328,7.849723416704473493e+03,1.585802710445386765e+01
329,7.865581443808927361e+03,1.982253388056960830e+00
330,7.867563697196984322e+03,3.964506776113012165e+00
331,7.871528203973097334e+03,1.982253388056960830e+00
332,7.873510457361154295e+03,7.929013552226933825e+00
333,7.881439470913381228e+03,1.982253388056960830e+00
334,7.883421724301438189e+03,3.964506776113012165e+00
335,7.887386231077551201e+03,1.982253388056960830e+00
336,7.889368484465608162e+03,1.585802710445386765e+01
337,7.905226511570062030e+03,1.982253388056960830e+00
338,7.907208764958118991e+03,3.964506776113012165e+00
339,7.911173271734232003e+03,1.982253388056960830e+00
340,7.913155525122288964e+03,7.929013552226933825e+00
341,7.921084538674515898e+03,1.982253388056960830e+00
342,7.923066792062572858e+03,3.964506776113012165e+00
343,7.927031298838685871e+03,1.982253388056960830e+00
344,7.929013552226742831e+03,7.929013552226933825e+00
345,7.936942565778969765e+03,1.982253388056960830e+00
346,7.938924819167026726e+03,3.964506776113012165e+00
347,7.942889325943139738e+03,9.911266940282985161e+00
348,7.952800592883422723e+03,7.929013552226933825e+00
349,7.960729606435649657e+03,1.982253388056960830e+00
350,7.962711859823706618e+03,3.964506776113012165e+00
351,7.966676366599819630e+03,1.982253388056960830e+00
352,7.968658619987876591e+03,7.929013552226933825e+00
353,7.976587633540103525e+03,1.982253388056960830e+00
354,7.978569886928160486e+03,3.964506776113012165e+00
355,7.982534393704273498e+03,1.982253388056960830e+00
356,7.984516647092330459e+03,1.585802710445386765e+01
357,8.000374674196784326e+03,1.982253388056960830e+00
358,8.002356927584841287e+03,3.964506776113012165e+00
359,8.006321434360954299e+03,1.982253388056960830e+00
360,8.008303687749011260e+03,7.929013552226933825e+00
361,8.016232701301238194e+03,1.982253388056960830e+00
362,8.018214954689295155e+03,3.964506776113012165e+00
363,8.022179461465408167e+03,1.982253388056960830e+00
364,8.024161714853465128e+03,7.929013552226933825e+00
365,8.032090728405692062e+03,1.982253388056960830e+00
366,8.034072981793749022e+03,3.964506776113012165e+00
367,8.038037488569862035e+03,1.982253388056960830e+00
368,8.040019741957918995e+03,1.585802710445386765e+01
369,8.055877769062372863e+03,1.982253388056960830e+00
370,8.057860022450429824e+03,3.964506776113012165e+00
371,8.061824529226542836e+03,1.982253388056960830e+00
372,8.063806782614599797e+03,7.929013552226933825e+00
373,8.071735796166826731e+03,1.982253388056960830e+00
374,8.073718049554883692e+03,3.964506776113012165e+00
375,8.077682556330996704e+03,1.982253388056960830e+00
376,8.079664809719053665e+03,7.929013552226933825e+00
377,8.087593823271280598e+03,1.982253388056960830e+00
